,num_changes,score,model,N,M
153,8550,0.06638450472285476,ER,300,300
154,9000,0.06480492064729154,ER,300,300
155,0,1.0,ER,300,300
156,1,0.895627258218823,ER,300,300
157,11,0.6869271423117462,ER,300,300
158,21,0.5716385229020102,ER,300,300
159,31,0.5089679687536888,ER,300,300
160,41,0.4298729633143248,ER,300,300
161,51,0.41830764392177167,ER,300,300
162,61,0.3859519506491011,ER,300,300
163,71,0.3435953808052404,ER,300,300
164,81,0.35034713813404983,ER,300,300
165,91,0.29798370494387993,ER,300,300
166,450,0.1468996428825533,ER,300,300
167,900,0.12066170216544375,ER,300,300
168,1350,0.10638536399857626,ER,300,300
169,1800,0.09105699024324607,ER,300,300
170,2250,0.09341761163736895,ER,300,300
171,2700,0.07999099849317168,ER,300,300
172,3150,0.07277732731969871,ER,300,300
173,3600,0.07288426500854091,ER,300,300
174,4050,0.0779067288676405,ER,300,300
175,4500,0.0699168179549152,ER,300,300
176,4950,0.06686473018382863,ER,300,300
177,5400,0.06697484844584954,ER,300,300
178,5850,0.06619105656997144,ER,300,300
179,6300,0.06550068491962922,ER,300,300
180,6750,0.06363464747414325,ER,300,300
181,7200,0.06767619420457205,ER,300,300
182,7650,0.05935075813976497,ER,300,300
183,8100,0.06549391750635912,ER,300,300
184,8550,0.06236106574110465,ER,300,300
185,9000,0.06326734884287409,ER,300,300
186,0,1.0,ER,300,300
187,1,0.9022100986867285,ER,300,300
188,11,0.6902707701025093,ER,300,300
189,21,0.5568485294600194,ER,300,300
190,31,0.5036679487146071,ER,300,300
191,41,0.459369286344832,ER,300,300
192,51,0.41399184652603827,ER,300,300
193,61,0.40162515296056756,ER,300,300
194,71,0.372615186635888,ER,300,300
195,81,0.37685842078053255,ER,300,300
196,91,0.3663963081065087,ER,300,300
197,450,0.18238834642025686,ER,300,300
198,900,0.1169933913944877,ER,300,300
199,1350,0.10083560098136347,ER,300,300
200,1800,0.09153160698601394,ER,300,300
201,2250,0.08485726678048165,ER,300,300
202,2700,0.07795791951248003,ER,300,300
203,3150,0.07385991706668521,ER,300,300
204,3600,0.0707945731382085,ER,300,300
205,4050,0.07423138967868784,ER,300,300
206,4500,0.07044152499805219,ER,300,300
207,4950,0.07574189252308035,ER,300,300
208,5400,0.07271042315455495,ER,300,300
209,5850,0.06786709992205371,ER,300,300
210,6300,0.061340443930062105,ER,300,300
