,N,M,cluster_size,cluster_mean,seed_a,seed_b,score,model
249,40,40,0.166,0.0,3,6,0.0894474137477607,clustered
250,40,40,0.166,0.0,3,7,0.0917279876871218,clustered
251,40,40,0.166,0.0,3,8,0.0831210171770199,clustered
252,40,40,0.166,0.0,3,9,0.1014081635180617,clustered
253,40,40,0.166,0.0,3,10,0.0792740343071951,clustered
254,40,40,0.166,0.0,4,5,0.100209639871237,clustered
255,40,40,0.166,0.0,4,6,0.0943583065757051,clustered
256,40,40,0.166,0.0,4,7,0.0918220525396145,clustered
257,40,40,0.166,0.0,4,8,0.0942823074376951,clustered
258,40,40,0.166,0.0,4,9,0.0853889002858296,clustered
259,40,40,0.166,0.0,4,10,0.081062946663665,clustered
260,40,40,0.166,0.0,5,6,0.0978412925428762,clustered
261,40,40,0.166,0.0,5,7,0.1036651177606628,clustered
262,40,40,0.166,0.0,5,8,0.0985424741474446,clustered
263,40,40,0.166,0.0,5,9,0.0770594400226661,clustered
264,40,40,0.166,0.0,5,10,0.0936496105843436,clustered
265,40,40,0.166,0.0,6,7,0.094087452495835,clustered
266,40,40,0.166,0.0,6,8,0.0968705017148732,clustered
267,40,40,0.166,0.0,6,9,0.0810634605749474,clustered
268,40,40,0.166,0.0,6,10,0.0915941592438041,clustered
269,40,40,0.166,0.0,7,8,0.1097035974594171,clustered
270,40,40,0.166,0.0,7,9,0.0990694872274615,clustered
271,40,40,0.166,0.0,7,10,0.0969429623866056,clustered
272,40,40,0.166,0.0,8,9,0.0804672487741591,clustered
273,40,40,0.166,0.0,8,10,0.1088205248360762,clustered
274,40,40,0.166,0.0,9,10,0.0938430408922354,clustered
275,40,40,0.166,5.0,0,1,0.0907429236563437,clustered
276,40,40,0.166,5.0,0,2,0.0981294697254447,clustered
277,40,40,0.166,5.0,0,3,0.1088788399642988,clustered
278,40,40,0.166,5.0,0,4,0.1086667988034678,clustered
279,40,40,0.166,5.0,0,5,0.107905708286392,clustered
280,40,40,0.166,5.0,0,6,0.087187169101884,clustered
281,40,40,0.166,5.0,0,7,0.1036899996746814,clustered
282,40,40,0.166,5.0,0,8,0.1197880031652737,clustered
283,40,40,0.166,5.0,0,9,0.1004294028204367,clustered
